name,focus,lead,description,scope,partners,priority_pop,additional_involvement,contact_name,contact_email,url
"Superintendent's Initiatives: Mental Health, Financial Literacy, Literacy by Grade 5, Anti-Racism",Education Equity,Riverside County Office of Education,"Riverside County Superintendent of Schools Dr. Edwin Gomez has launched four initiatives to support student success including a focus on mental health, financial literacy, literacy by fifth grade, and anti-racism.",Riverside County,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Hospitals, Community clinics, Other health providers, Media (general market), Media (ethnic or community-specific media), Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students","COVID testing, Other health services, Housing assistance, Food assistance, Voter registration, Voter engagement, Census outreach",Neftali Galarza,ngalarza@rcoe.us,https://www.rcoe.us/about-us/superintendent/superintendent-s-initiatives
Zero-Emission Multiple Unit (Hydrogen Powered Trains) ,Transportation and Environment,San Bernardino County Transportation Agency ,"SBCTA is leading the charge for a greener passenger rail future by piloting zero-emission rail technology for the new Arrow service between San Bernardino and Redlands. In 2024, SBCTA will debut the first in North America, battery and hydrogen- powered passenger train. The Zero-Emission Multiple Unit (ZEMU) rail vehicle will use a hybrid hydrogen fuel cell and battery technology to propel the vehicle, providing a cleaner transit option for the community. A contract signing in 2019 between Stadler US and SBCTA cleared the path to begin the manufacturing of the first two-car hydrogen-powered passenger train to operate in the United States. Providing a hydrogen-powered rail vehicle to passengers is a critical milestone demonstrating SBCTA’s investment in the county’s sustainable future, zero-emission transportation options and the transition away from using fossil fuels to protect the health of its 2.1 million residents and visitors. ZEMU will offer passengers the most environmentally rail friendly vehicle in the United States and deliver a balanced and sustainable transportation system for San Bernardino County’s future.",San Bernardino County,"Govt agency - State, Govt agency - Local",No priority populations (general),,,info@gosbcta.com,https://www.gosbcta.com/project/diesel-multiple-unit-to-zero-emission-multiple-unit-pilot/
COVID-19 Testing/Vaccinations Partnership W/Black Churches ,Health Equity,Congregations Organized for Prophetic Engagement ,,San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - State, Govt agency - Local, Community clinics, Media (ethnic or community-specific media), Philanthropy - state funder, Philanthropy - local funder","Black communities, Elders / seniors, Faith-based communities (please specify under ""Other"" below), Low-income residents, People with disabilities","COVID testing, Economic relief, Food assistance",Samuel L. Casey,scasey@copesite.org,https://copesite.org/
Permeant and Supportive Housing for Veterans,Housing Equity,U.S. Vets,"U.S.VETS — Inland Empire is proud to introduce March Veterans Village, a community dedicated to supporting low income veterans and their families with affordable housing and supportive services conveniently located next to March Air Reserve Base in Riverside County, CA. Once all phases are completed, March Veterans Village will consist of seven apartment buildings and be home to more than 400 veterans and their families.","City of San Bernardino, March Air Reserve Base, and unincorporated areas of City of Riverside ","Nonprofits - advocates / base builders, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","Homelessness/Housing insecurity, Veterans","Housing assistance, Food assistance",Denise Desirello,ddesirello@usvets.org,https://usvets.org/march-veterans-village/
GrowRIVERSIDE: Building a resilient and sustainable local food system,Inclusive Econ and Workforce Devt,Riverside County Economic Development,"GrowRIVERSIDE is a multi-stakeholder initiative to cultivate food and agricultural activities across the Inland Southern California region. GrowRIVERSIDE will equip the public with tools and knowledge to create a strong marketplace for local food systems, generate opportunities for community and economic development, advance public policy related to food and agriculture, and provide a venue for stakeholders to network.",Inland Southern California Region,"Academic / colleges or universities, Small businesses, Labor unions / worker centers, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Local, Hospitals, Other health providers, Community members, school districts, farmers, property owners","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Hispanic / Latino / Latinx communities, Home owners, People with disabilities, Small business owners, Undocumented individuals and families, Unemployed/underemployed, Veterans, Women, Youth/Students",Food assistance,Scott Berndt ,berndtsplants@gmail.com,http://www.growriv.com
Industrial Technical Learning Center (InTech),Inclusive Econ and Workforce Devt,Chaffey College,The Industrial Technical Learning Center (InTech) is a regional training center designed to train and upskill a workforce pipeline for business and industry in the Inland Empire region and provides training at no cost to all individuals. InTech is the first public-private partnership in the California Community College System.,Riverside Community College District service region,"Academic / colleges or universities, Large businesses, Labor unions / worker centers, Nonprofits - advocates / base builders, Govt agency - State","Black communities, Hispanic / Latino / Latinx communities, Low-income residents, Unemployed/underemployed, Veterans, Women, Youth/Students",,,intechcenter@chaffey.edu,https://intechcenter.org/
LAUNCH Apprenticeship Network ,Inclusive Econ and Workforce Devt,Inland Empire Desert Region College Consortium,"The LAUNCH Apprenticeship Network was originally formed in 2018 by the Inland Empire Desert Region College Consortium and leverages the workforce and education systems of the region’s community colleges, K-12 districts, and two Workforce Development Boards. By integrating apprenticeship into these organizations and institutions, LAUNCH acts as an intermediary and education provider for businesses adopting the apprenticeship model. In addition, LAUNCH provides regional resources for developing programs and increasing pathways into apprenticeship both in traditional apprenticeships and new and innovative programs. Essentially, LAUNCH makes apprenticeship easy and effective for Inland Empire businesses and career-builders.",San Bernardino County and Riverside County,"Academic / colleges or universities, Large businesses, Small businesses, Labor unions / worker centers, Govt agency - State","Unemployed/underemployed, Youth/Students",Food assistance,Charles Henkels,Charles.Henkels@rccd.edu,https://launchapprenticeship.org/
Our Salton Sea: Investing in People for a Thriving Region,Inclusive Econ and Workforce Devt,Alianza Coachella Valley ,"Alianza and the Center for Social Innovation at the University of California, Riverside launched a new effort exploring how to diversify the economy around the Salton Sea so that the thousands of people who call the area home have greater opportunities to work towards stable, healthy lives. It is called ""Our Salton Sea: Investing in People for a Thriving Region,"" and it came together after Alianza and CSI recognized that a concerted effort was needed in order for the rural Eastern Coachella Valley to recover from the coronavirus pandemic and “build back batter” as President Joe Biden has advocated.",Salton Sea Region (Coachella & Imperial Valleys),"Academic / colleges or universities, Nonprofits - advocates / base builders, Govt agency - State, Govt agency - Local, Philanthropy - state funder, Community Members",Hispanic / Latino / Latinx communities,"Economic relief, Voter engagement, Census outreach",Sahara Huazano,sahara@alianzacv.org,https://www.alianzacv.org/
Fair Chance Hiring (also known as Ban the Box)  ,Inclusive Econ and Workforce Devt,Inland Empire Fair Chance Coalition ,"IEFCC is a coalition of community based service providers, advocates, researchers and returning citizens working closely with state & local government agencies. Our mission is to educate residents, community organizations and employers in the Inland Empire about the Fair Chance Act (AB 1008) to reduce employment discrimination based on previous justice system involvement.",State; San Bernardino and Riverside County,"Academic / colleges or universities, Labor unions / worker centers, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - State","Black communities, Hispanic / Latino / Latinx communities, Low-income residents, People with disabilities, Unemployed/underemployed, Formerly incarcerated and systems-impacted ",Economic relief,Stacy Villalobos,svillalobos@legalaidatwork.org,https://www.iefcc.com/
"Young Scholars, Young Workers, Young Leaders",Education Equity,Youth Action Project,"Since 1998, Youth Action Project (YAP) has held open the window of opportunity for historically underserved Inland Empire youth. Founded on the principle of “nothing about me without me”, YAP began as a youth-driven platform centered on promoting youth agency. YAP has since evolved to become a comprehensive youth-serving organization with programs that address academic achievement, workforce preparation, and personal development. YAP has spent 20 years developing systems for youth outreach, connection, and development.  Today, YAP has developed three primary program elements: Young Scholars, Young Workers, and Young Leaders",City of San Bernardino and surrounding areas,"Academic / colleges or universities, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers","Black communities, Hispanic / Latino / Latinx communities, Unemployed/underemployed, Youth/Students","COVID testing, COVID vaccination",Summer Danh,sdanh@youthactionproject.org,https://www.youthactionproject.org
